time,lat,lon,value
1246982705,37.869787,-122.272013,0.015
1246982706,37.869768,-122.272043,0.013
1246982707,37.869758,-122.272088,0.013
1246982708,37.869745,-122.272137,0.013
1246982709,37.869733,-122.272183,0.014
1246982710,37.869720,-122.272225,0.014
1246982711,37.869712,-122.272270,0.016
1246982712,37.869693,-122.272293,0.013
1246982713,37.869682,-122.272315,0.014
1246982714,37.869688,-122.272352,0.012
1246982715,37.869680,-122.272357,0.016
1246982716,37.869673,-122.272362,0.014
1246982717,37.869680,-122.272380,0.013
1246982718,37.869687,-122.272405,0.012
1246982719,37.869688,-122.272435,0.015
1246982720,37.869672,-122.272440,0.013
1246982721,37.869662,-122.272455,0.016
1246982722,37.869647,-122.272458,0.011
1246982723,37.869633,-122.272460,0.011
1246982724,37.869620,-122.272472,0.013
1246982725,37.869613,-122.272505,0.015
1246982726,37.869605,-122.272543,0.014
1246982727,37.869587,-122.272542,0.014
1246982728,37.869590,-122.272608,0.012
1246982729,37.869573,-122.272642,0.016
1246982730,37.869562,-122.272688,0.013
1246982731,37.869570,-122.272728,0.011
1246982732,37.869558,-122.272795,0.015
1246982733,37.869560,-122.272888,0.013
1246982734,37.869518,-122.272907,0.011
1246982735,37.869468,-122.272928,0.011
1246982736,37.869422,-122.272937,0.014
1246982737,37.869360,-122.272888,0.013
1246982738,37.869307,-122.272903,0.013
1246982739,37.869243,-122.272922,0.012
1246982740,37.869212,-122.272978,0.012
1246982741,37.869175,-122.272993,0.014
1246982742,37.869152,-122.273000,0.014
1246982743,37.869122,-122.272992,0.013
1246982744,37.869108,-122.272970,0.012
1246982745,37.869062,-122.272988,0.014
1246982746,37.869025,-122.272995,0.013
1246982747,37.868965,-122.272958,0.013
1246982748,37.868913,-122.272945,0.012
1246982749,37.868848,-122.272907,0.014
1246982750,37.868805,-122.272875,0.015
1246982751,37.868762,-122.272837,0.011
1246982752,37.868730,-122.272805,0.012
1246982753,37.868663,-122.272762,0.011
1246982754,37.868553,-122.272690,0.013
1246982755,37.868462,-122.272635,0.013
1246982756,37.868420,-122.272627,0.013
1246982757,37.868365,-122.272633,0.011
1246982758,37.868312,-122.272662,0.012
1246982759,37.868263,-122.272650,0.010
1246982760,37.868227,-122.272685,0.012
1246982761,37.868203,-122.272755,0.011
1246982762,37.868175,-122.272780,0.013
1246982763,37.868145,-122.272785,0.011
1246982764,37.868105,-122.272778,0.017
1246982765,37.868087,-122.272830,0.011
1246982766,37.868043,-122.272865,0.012
1246982767,37.868020,-122.272903,0.012
1246982768,37.868000,-122.272925,0.011
1246982769,37.867967,-122.272930,0.014
1246982770,37.867938,-122.272955,0.012
1246982771,37.867903,-122.272933,0.014
1246982772,37.867863,-122.272967,0.013
1246982773,37.867800,-122.272977,0.013
1246982774,37.867727,-122.272962,0.014
1246982775,37.867677,-122.272962,0.014
1246982776,37.867620,-122.272932,0.013
1246982777,37.867573,-122.272932,0.020
1246982778,37.867535,-122.272952,0.017
1246982779,37.867470,-122.272955,0.017
1246982780,37.867382,-122.272912,0.011
1246982781,37.867317,-122.272915,0.012
1246982782,37.867240,-122.272902,0.011
1246982783,37.867175,-122.272897,0.013
1246982784,37.867127,-122.272927,0.014
1246982785,37.867107,-122.272960,0.011
1246982786,37.867087,-122.272975,0.011
1246982787,37.867022,-122.272965,0.013
1246982788,37.866912,-122.272680,0.014
1246982789,37.866868,-122.272598,0.013
1246982790,37.866818,-122.272550,0.015
1246982791,37.866752,-122.272535,0.013
1246982792,37.866687,-122.272528,0.014
1246982793,37.866638,-122.272515,0.012
1246982794,37.866563,-122.272518,0.013
1246982795,37.866482,-122.272512,0.013
1246982796,37.866393,-122.272503,0.013
1246982797,37.866308,-122.272488,0.013
1246982798,37.866225,-122.272478,0.015
1246982799,37.866155,-122.272460,0.013
1246982800,37.866105,-122.272445,0.012
1246982801,37.866053,-122.272427,0.012
1246982802,37.865992,-122.272412,0.015
1246982803,37.865943,-122.272397,0.011
1246982804,37.865855,-122.272385,0.012
1246982805,37.865795,-122.272377,0.015
1246982806,37.865720,-122.272353,0.016
1246982807,37.865645,-122.272350,0.010
1246982808,37.865568,-122.272330,0.013
1246982809,37.865530,-122.272300,0.015
1246982810,37.865470,-122.272293,0.012
1246982811,37.865415,-122.272290,0.012
1246982812,37.865343,-122.272298,0.011
1246982813,37.865295,-122.272297,0.010
1246982814,37.865255,-122.272297,0.013
1246982815,37.865192,-122.272297,0.014
1246982816,37.865155,-122.272292,0.015
1246982817,37.865105,-122.272283,0.013
1246982818,37.865047,-122.272275,0.014
1246982819,37.864985,-122.272268,0.017
1246982820,37.864915,-122.272240,0.011
1246982821,37.864827,-122.272222,0.015
1246982822,37.864735,-122.272187,0.013
1246982823,37.864648,-122.272163,0.013
1246982824,37.864583,-122.272158,0.013
1246982825,37.864540,-122.272155,0.016
1246982826,37.864490,-122.272158,0.012
1246982827,37.864443,-122.272163,0.010
1246982828,37.864407,-122.272167,0.013
1246982829,37.864368,-122.272167,0.013
1246982830,37.864342,-122.272167,0.011
1246982831,37.864317,-122.272170,0.014
1246982832,37.864273,-122.272177,0.013
1246982833,37.864235,-122.272173,0.013
1246982834,37.864222,-122.272178,0.013
1246982835,37.864213,-122.272177,0.012
1246982836,37.864207,-122.272175,0.013
1246982837,37.864182,-122.272185,0.015
1246982838,37.864150,-122.272188,0.014
1246982839,37.864118,-122.272173,0.012
1246982840,37.864062,-122.272165,0.014
1246982841,37.864028,-122.272158,0.013
1246982842,37.864007,-122.272150,0.012
1246982843,37.864002,-122.272140,0.014
1246982844,37.863988,-122.272133,0.015
1246982845,37.863987,-122.272125,0.015
1246982846,37.863977,-122.272128,0.016
1246982847,37.863940,-122.272130,0.015
1246982848,37.863910,-122.272123,0.017
1246982849,37.863907,-122.272117,0.014
1246982850,37.863872,-122.272117,0.014
1246982851,37.863805,-122.272112,0.013
1246982852,37.863727,-122.272108,0.013
1246982853,37.863682,-122.272108,0.014
1246982854,37.863633,-122.272117,0.013
1246982855,37.863595,-122.272107,0.015
1246982856,37.863562,-122.272092,0.012
1246982857,37.863542,-122.272073,0.017
1246982858,37.863525,-122.272060,0.014
1246982859,37.863507,-122.272037,0.015
1246982860,37.863522,-122.272018,0.014
1246982861,37.863542,-122.271987,0.013
1246982862,37.863547,-122.271982,0.015
1246982863,37.863547,-122.271982,0.012
1246982864,37.863547,-122.271982,0.015
1246982865,37.863538,-122.271973,0.016
1246982866,37.863490,-122.271973,0.012
1246982867,37.863428,-122.271975,0.012
1246982868,37.863367,-122.271982,0.011
1246982869,37.863320,-122.271990,0.015
1246982870,37.863293,-122.272002,0.016
1246982871,37.863283,-122.272003,0.009
1246982872,37.863277,-122.271995,0.014
1246982873,37.863258,-122.271980,0.011
1246982874,37.863198,-122.271988,0.013
1246982875,37.863157,-122.271998,0.010
1246982876,37.863092,-122.272002,0.018
1246982877,37.863002,-122.272008,0.015
1246982878,37.862952,-122.271997,0.012
1246982879,37.862912,-122.271980,0.013
1246982880,37.862842,-122.271980,0.011
1246982881,37.862795,-122.271973,0.013
1246982882,37.862745,-122.271962,0.014
1246982883,37.862698,-122.271965,0.013
1246982884,37.862658,-122.271955,0.010
1246982885,37.862578,-122.271950,0.013
1246982886,37.862500,-122.271958,0.015
1246982887,37.862453,-122.271958,0.012
1246982888,37.862392,-122.271960,0.012
1246982889,37.862338,-122.271965,0.013
1246982890,37.862303,-122.271957,0.015
1246982891,37.862290,-122.271952,0.017
1246982892,37.862265,-122.271930,0.015
1246982893,37.862195,-122.271928,0.012
1246982894,37.862133,-122.271922,0.014
1246982895,37.862065,-122.271918,0.016
1246982896,37.862012,-122.271913,0.013
1246982897,37.861940,-122.271917,0.013
1246982898,37.861877,-122.271913,0.014
1246982899,37.861813,-122.271910,0.016
1246982900,37.861753,-122.271898,0.015
1246982901,37.861703,-122.271898,0.021
1246982902,37.861652,-122.271892,0.020
1246982903,37.861587,-122.271887,0.021
1246982904,37.861505,-122.271887,0.017
1246982905,37.861443,-122.271875,0.023
1246982906,37.861400,-122.271855,0.017
1246982907,37.861348,-122.271845,0.026
1246982908,37.861285,-122.271840,0.039
1246982909,37.861222,-122.271830,0.056
1246982910,37.861147,-122.271817,0.018
1246982911,37.861085,-122.271808,0.016
1246982912,37.861033,-122.271792,0.013
